model,with_features,nc_test_size,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,accuracy
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,1.0,2.0,63.53071549088202
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,1.0,3.0,52.565608669083645
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,1.0,6.0,41.322146153287974
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,1.0,10.0,33.28594740630528
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,5.0,2.0,86.31337394436056
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,5.0,3.0,78.78140389541022
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,5.0,6.0,75.33009365309313
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,5.0,10.0,73.17522485814919
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,10.0,2.0,91.90568054007977
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,10.0,3.0,83.92095368018647
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,10.0,6.0,83.67709253431009
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,10.0,10.0,80.10036669225772
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,-1.0,2.0,63.17952560919406
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,-1.0,3.0,46.67944809039907
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,-1.0,6.0,23.732691263574406
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,-1.0,10.0,14.192373781728511
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,1.0,2.0,60.811648437517746
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,1.0,3.0,52.692380285877086
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,1.0,6.0,38.133809397610484
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,1.0,10.0,28.434916753240913
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,5.0,2.0,84.85475488037272
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,5.0,3.0,79.60661251715753
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,5.0,6.0,71.39949067157113
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,5.0,10.0,66.48736417286702
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,10.0,2.0,88.79478800497787
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,10.0,3.0,86.45185881674354
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,10.0,6.0,78.43633125296289
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,1.1,0.0,10.0,10.0,75.00648248392902
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,3.0,0.0,-1.0,2.0,63.869452217338804
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,3.5,2000.0,3.0,0.0,-1.0,3.0,46.56779820296198
