model,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,with_features,nc_test_size,i,accuracy
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,1,6,1,0.7,4.5,41.835
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,10,10,1,0.7,4.5,85.316
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,10,2,1,0.7,4.5,87.696
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,10,3,1,0.7,4.5,89.494
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,10,6,1,0.7,4.5,85.27799999999999
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,5,10,1,0.7,4.5,77.7
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,5,2,1,0.7,4.5,88.013
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,5,3,1,0.7,4.5,86.285
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,5,6,1,0.7,4.5,78.19
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,-1,10,1,0.7,4.5,16.659
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,-1,2,1,0.7,4.5,70.646
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,-1,3,1,0.7,4.5,52.162
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,-1,6,1,0.7,4.5,26.747000000000003
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,1,10,1,0.7,4.5,39.612
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,1,2,1,0.7,4.5,69.929
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,1,3,1,0.7,4.5,55.376999999999995
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,1,6,1,0.7,4.5,45.655
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,10,10,1,0.7,4.5,86.444
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,10,2,1,0.7,4.5,92.61699999999999
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,10,3,1,0.7,4.5,92.467
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,10,6,1,0.7,4.5,88.78099999999999
